epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
168,20306.9,1.49121,1.10743,0.96919,0.44718,0.32197,0.31874,0.18264,1.38498,1.02095,0.93774,0.0017335,0.0017335,0.0017335
169,20415.2,1.49328,1.10904,0.97135,0.447,0.32214,0.31872,0.18264,1.38499,1.02067,0.93768,0.001684,0.001684,0.001684
170,20522,1.49142,1.1086,0.97223,0.44696,0.32226,0.31892,0.18269,1.38481,1.02039,0.93764,0.0016345,0.0016345,0.0016345
171,20628,1.49708,1.10688,0.97191,0.4466,0.32231,0.31889,0.18278,1.38464,1.02008,0.93757,0.001585,0.001585,0.001585
172,20733.8,1.49243,1.10344,0.97111,0.44611,0.32228,0.31914,0.18289,1.38437,1.01979,0.93749,0.0015355,0.0015355,0.0015355
173,20841.4,1.4912,1.10107,0.96982,0.44615,0.3228,0.31935,0.18295,1.38428,1.01963,0.93741,0.001486,0.001486,0.001486
174,20949.3,1.49085,1.09604,0.96734,0.44426,0.32374,0.31934,0.18298,1.3842,1.01942,0.93733,0.0014365,0.0014365,0.0014365
175,21058.5,1.48973,1.10128,0.97111,0.44586,0.32312,0.31946,0.18312,1.38406,1.01922,0.93728,0.001387,0.001387,0.001387
176,21164.6,1.49376,1.10072,0.96893,0.44537,0.323,0.31941,0.18319,1.38387,1.01917,0.93722,0.0013375,0.0013375,0.0013375
177,21274,1.49035,1.09684,0.96833,0.44734,0.32222,0.31943,0.18321,1.38371,1.0189,0.93714,0.001288,0.001288,0.001288
178,21381.7,1.47981,1.09045,0.96654,0.44524,0.32298,0.3196,0.18328,1.38363,1.01872,0.93711,0.0012385,0.0012385,0.0012385
179,21487.8,1.4869,1.09658,0.96808,0.44473,0.32284,0.31959,0.18339,1.38354,1.01848,0.93705,0.001189,0.001189,0.001189
